ID Transaksi;Tanggal;Hari;Bulan;Kuartal;Tahun;Jam Transaksi;Nama Produk;Kategori; Harga Satuan ;Jumlah;Diskon (%); Total Penjualan ; HPP ; Laba Kotor ;Margin (%);Cabang;Kasir;Metode Pembayaran;Status Member;Rating Pelanggan;
TRX-0063;29/10/2023;Minggu;Oktober;Q4;2023;Sore (16-20);Indomie Goreng;Snack; Rp3.500,00 ;4;0; Rp14.000,00 ; Rp9.280,00 ; Rp4.720,00 ;33,71;Singosari;Agus;Voucher;Non-Member;5;
TRX-0064;05/12/2023;Selasa;Desember;Q4;2023;Pagi (08-12);Deterjen Rinso;Kebersihan; Rp22.000,00 ;5;0; Rp110.000,00 ; Rp65.201,00 ; Rp44.799,00 ;40,73;Malang Kota;Budi;Kartu Debit;Member;2;
TRX-0065;10/08/2023;Kamis;Agustus;Q3;2023;Sore (16-20);Royco Ayam;Bumbu Dapur; Rp5.000,00 ;10;20; Rp40.000,00 ; Rp25.568,00 ; Rp14.432,00 ;36,08;Singosari;Rina;QRIS;Member;3;
TRX-0066;03/07/2023;Senin;Juli;Q3;2023;Siang (12-16);Sabun Lifebuoy;Kebersihan; Rp8.000,00 ;9;0; Rp72.000,00 ; Rp42.958,00 ; Rp29.042,00 ;40,34;Malang Kota;Dewi;Kartu Debit;Non-Member;1;
TRX-0067;13/01/2023;Jumat;Januari;Q1;2023;Malam (20-22);Lip Balm Nivea;Perawatan; Rp18.000,00 ;8;5; Rp136.800,00 ; Rp85.484,00 ; Rp51.316,00 ;37,51;Kepanjen;Rina;Kartu Debit;Member;1;
TRX-0068;15/02/2024;Kamis;Februari;Q1;2024;Sore (16-20);Kecap ABC;Bumbu Dapur; Rp14.000,00 ;10;15; Rp119.000,00 ; Rp79.337,00 ; Rp39.663,00 ;33,33;Kepanjen;Budi;Voucher;Member;2;
TRX-0069;02/05/2023;Selasa;Mei;Q2;2023;Malam (20-22);Hand Sanitizer;Perawatan; Rp12.000,00 ;10;10; Rp108.000,00 ; Rp73.918,00 ; Rp34.082,00 ;31,56;Kepanjen;Dewi;Kartu Kredit;Non-Member;3;
TRX-0070;25/08/2024;Minggu;Agustus;Q3;2024;Sore (16-20);Royco Ayam;Bumbu Dapur; Rp5.000,00 ;10;10; Rp45.000,00 ; Rp25.211,00 ; Rp19.789,00 ;43,98;Malang Kota;Budi;QRIS;Member;2;
TRX-0071;03/09/2023;Minggu;September;Q3;2023;Sore (16-20);Cheetos;Snack; Rp11.000,00 ;2;0; Rp22.000,00 ; Rp12.110,00 ; Rp9.890,00 ;44,95;Lawang;Dewi;Kartu Kredit;Member;2;
TRX-0072;23/10/2023;Senin;Oktober;Q4;2023;Malam (20-22);Deterjen Rinso;Kebersihan; Rp22.000,00 ;2;15; Rp37.400,00 ; Rp22.054,00 ; Rp15.346,00 ;41,03;Singosari;Dewi;QRIS;Member;5;
TRX-0073;19/08/2023;Sabtu;Agustus;Q3;2023;Sore (16-20);Qtela;Snack; Rp14.000,00 ;3;0; Rp42.000,00 ; Rp23.526,00 ; Rp18.474,00 ;43,99;Singosari;Dewi;Voucher;Non-Member;1;
TRX-0074;24/04/2024;Rabu;April;Q2;2024;Pagi (08-12);Deterjen Rinso;Kebersihan; Rp22.000,00 ;5;10; Rp99.000,00 ; Rp63.538,00 ; Rp35.462,00 ;35,82;Lawang;Rina;Voucher;Non-Member;3;
TRX-0075;10/09/2024;Selasa;September;Q3;2024;Sore (16-20);Sabun Lifebuoy;Kebersihan; Rp8.000,00 ;2;0; Rp16.000,00 ; Rp11.416,00 ; Rp4.584,00 ;28,65;Batu;Dewi;Tunai;Member;2;
TRX-0076;26/04/2024;Jumat;April;Q2;2024;Malam (20-22);Hand Sanitizer;Perawatan; Rp12.000,00 ;5;0; Rp60.000,00 ; Rp43.169,00 ; Rp16.831,00 ;28,05;Lawang;Agus;Tunai;Non-Member;4;
TRX-0077;08/12/2023;Jumat;Desember;Q4;2023;Pagi (08-12);Sabun Lifebuoy;Kebersihan; Rp8.000,00 ;3;0; Rp24.000,00 ; Rp14.880,00 ; Rp9.120,00 ;38,00;Lawang;Siti;Kartu Kredit;Non-Member;1;
TRX-0078;19/11/2023;Minggu;November;Q4;2023;Malam (20-22);Pasta Gigi Pepsodent;Kebersihan; Rp12.000,00 ;2;20; Rp19.200,00 ; Rp11.879,00 ; Rp7.321,00 ;38,13;Batu;Rina;Voucher;Non-Member;1;
TRX-0079;12/07/2023;Rabu;Juli;Q3;2023;Sore (16-20);Lip Balm Nivea;Perawatan; Rp18.000,00 ;10;20; Rp144.000,00 ; Rp91.403,00 ; Rp52.597,00 ;36,53;Lawang;Rina;QRIS;Member;3;
TRX-0080;24/03/2024;Minggu;Maret;Q1;2024;Pagi (08-12);Kecap ABC;Bumbu Dapur; Rp14.000,00 ;1;15; Rp11.900,00 ; Rp7.777,00 ; Rp4.123,00 ;34,65;Kepanjen;Budi;Kartu Debit;Non-Member;1;
TRX-0081;19/08/2023;Sabtu;Agustus;Q3;2023;Sore (16-20);Kopi Kapal Api;Minuman; Rp12.000,00 ;2;15; Rp20.400,00 ; Rp14.106,00 ; Rp6.294,00 ;30,85;Lawang;Siti;Voucher;Non-Member;4;
TRX-0082;28/04/2024;Minggu;April;Q2;2024;Pagi (08-12);Indomie Goreng;Snack; Rp3.500,00 ;9;0; Rp31.500,00 ; Rp19.379,00 ; Rp12.121,00 ;38,48;Batu;Dewi;QRIS;Non-Member;4;
TRX-0083;15/12/2023;Jumat;Desember;Q4;2023;Siang (12-16);Lip Balm Nivea;Perawatan; Rp18.000,00 ;1;0; Rp18.000,00 ; Rp12.122,00 ; Rp5.878,00 ;32,66;Batu;Dewi;Kartu Kredit;Non-Member;5;
TRX-0084;10/05/2024;Jumat;Mei;Q2;2024;Siang (12-16);Pasta Gigi Pepsodent;Kebersihan; Rp12.000,00 ;9;20; Rp86.400,00 ; Rp55.502,00 ; Rp30.898,00 ;35,76;Lawang;Siti;QRIS;Non-Member;2;
TRX-0085;25/02/2024;Minggu;Februari;Q1;2024;Malam (20-22);Pocari Sweat;Minuman; Rp8.000,00 ;8;15; Rp54.400,00 ; Rp38.367,00 ; Rp16.033,00 ;29,47;Lawang;Agus;QRIS;Member;2;
TRX-0086;29/05/2024;Rabu;Mei;Q2;2024;Pagi (08-12);Lip Balm Nivea;Perawatan; Rp18.000,00 ;2;20; Rp28.800,00 ; Rp19.977,00 ; Rp8.823,00 ;30,64;Malang Kota;Dewi;Kartu Kredit;Member;4;
TRX-0087;01/11/2024;Jumat;November;Q4;2024;Pagi (08-12);Chitato;Snack; Rp12.000,00 ;8;20; Rp76.800,00 ; Rp54.894,00 ; Rp21.906,00 ;28,52;Singosari;Dewi;Kartu Kredit;Non-Member;5;
TRX-0088;25/01/2024;Kamis;Januari;Q1;2024;Pagi (08-12);Deterjen Rinso;Kebersihan; Rp22.000,00 ;9;0; Rp198.000,00 ; Rp129.684,00 ; Rp68.316,00 ;34,50;Kepanjen;Siti;QRIS;Non-Member;1;
TRX-0089;10/10/2024;Kamis;Oktober;Q4;2024;Pagi (08-12);Kopi Kapal Api;Minuman; Rp12.000,00 ;3;15; Rp30.600,00 ; Rp18.388,00 ; Rp12.212,00 ;39,91;Malang Kota;Rina;Kartu Debit;Non-Member;3;
TRX-0090;19/01/2024;Jumat;Januari;Q1;2024;Pagi (08-12);Saos Sambal;Bumbu Dapur; Rp10.000,00 ;4;10; Rp36.000,00 ; Rp22.322,00 ; Rp13.678,00 ;37,99;Kepanjen;Budi;QRIS;Non-Member;5;
TRX-0091;30/11/2024;Sabtu;November;Q4;2024;Pagi (08-12);Indomie Goreng;Snack; Rp3.500,00 ;10;0; Rp35.000,00 ; Rp20.632,00 ; Rp14.368,00 ;41,05;Singosari;Agus;Kartu Debit;Non-Member;3;
TRX-0092;24/11/2024;Minggu;November;Q4;2024;Sore (16-20);Deodorant Rexona;Perawatan; Rp20.000,00 ;2;5; Rp38.000,00 ; Rp27.006,00 ; Rp10.994,00 ;28,93;Batu;Siti;Kartu Kredit;Non-Member;3;
TRX-0093;23/07/2023;Minggu;Juli;Q3;2023;Sore (16-20);Sania Minyak Goreng;Bumbu Dapur; Rp28.000,00 ;2;0; Rp56.000,00 ; Rp34.431,00 ; Rp21.569,00 ;38,52;Singosari;Dewi;Kartu Debit;Member;4;
TRX-0094;09/10/2023;Senin;Oktober;Q4;2023;Sore (16-20);Susu Ultra;Minuman; Rp9.000,00 ;1;10; Rp8.100,00 ; Rp5.481,00 ; Rp2.619,00 ;32,33;Singosari;Budi;Voucher;Member;2;
TRX-0095;27/09/2024;Jumat;September;Q3;2024;Sore (16-20);Shampo Sunsilk;Kebersihan; Rp15.000,00 ;2;15; Rp25.500,00 ; Rp16.827,00 ; Rp8.673,00 ;34,01;Singosari;Agus;Tunai;Member;1;
TRX-0096;30/10/2023;Senin;Oktober;Q4;2023;Sore (16-20);Deterjen Rinso;Kebersihan; Rp22.000,00 ;3;0; Rp66.000,00 ; Rp37.783,00 ; Rp28.217,00 ;42,75;Batu;Siti;Voucher;Member;3;
TRX-0097;08/05/2024;Rabu;Mei;Q2;2024;Sore (16-20);Pasta Gigi Pepsodent;Kebersihan; Rp12.000,00 ;2;5; Rp22.800,00 ; Rp16.272,00 ; Rp6.528,00 ;28,63;Kepanjen;Budi;Kartu Kredit;Member;4;
TRX-0098;15/01/2023;Minggu;Januari;Q1;2023;Sore (16-20);Softex;Kebersihan; Rp18.000,00 ;2;5; Rp34.200,00 ; Rp20.953,00 ; Rp13.247,00 ;38,73;Singosari;Dewi;Kartu Kredit;Member;2;
TRX-0099;27/04/2024;Sabtu;April;Q2;2024;Sore (16-20);Susu Ultra;Minuman; Rp9.000,00 ;9;0; Rp81.000,00 ; Rp57.153,00 ; Rp23.847,00 ;29,44;Kepanjen;Rina;Kartu Kredit;Non-Member;1;
TRX-0100;24/05/2023;Rabu;Mei;Q2;2023;Malam (20-22);Aqua 1.5L;Minuman; Rp5.000,00 ;5;5; Rp23.750,00 ; Rp13.531,00 ; Rp10.219,00 ;43,03;Kepanjen;Dewi;QRIS;Non-Member;3;
TRX-0101;17/11/2024;Minggu;November;Q4;2024;Malam (20-22);Hand Sanitizer;Perawatan; Rp12.000,00 ;10;15; Rp102.000,00 ; Rp68.699,00 ; Rp33.301,00 ;32,65;Lawang;Rina;Kartu Kredit;Non-Member;1;
TRX-0102;07/12/2024;Sabtu;Desember;Q4;2024;Sore (16-20);Shampo Sunsilk;Kebersihan; Rp15.000,00 ;8;5; Rp114.000,00 ; Rp81.122,00 ; Rp32.878,00 ;28,84;Singosari;Rina;Kartu Debit;Member;4;
TRX-0103;10/10/2023;Selasa;Oktober;Q4;2023;Sore (16-20);Chitato;Snack; Rp12.000,00 ;8;0; Rp96.000,00 ; Rp63.616,00 ; Rp32.384,00 ;33,73;Batu;Rina;Tunai;Member;2;
TRX-0104;01/08/2024;Kamis;Agustus;Q3;2024;Pagi (08-12);Chitato;Snack; Rp12.000,00 ;9;0; Rp108.000,00 ; Rp70.166,00 ; Rp37.834,00 ;35,03;Kepanjen;Siti;QRIS;Non-Member;2;
TRX-0105;14/05/2023;Minggu;Mei;Q2;2023;Sore (16-20);Lip Balm Nivea;Perawatan; Rp18.000,00 ;3;0; Rp54.000,00 ; Rp35.769,00 ; Rp18.231,00 ;33,76;Malang Kota;Budi;Tunai;Member;5;
TRX-0106;28/11/2023;Selasa;November;Q4;2023;Pagi (08-12);Teh Botol;Minuman; Rp6.000,00 ;5;0; Rp30.000,00 ; Rp17.146,00 ; Rp12.854,00 ;42,85;Lawang;Dewi;Tunai;Non-Member;4;
